2013,3,1,3,3,6,12,8,300,81,-3.6,1021.8
2013,3,1,4,3,3,14,8,300,81,-3.5,1022.3
2013,3,1,5,3,3,10,17,400,71,-4.5,1022.6
2013,3,1,6,4,6,12,22,500,65,-4.5,1023.4
2013,3,1,7,3,6,25,39,600,48,-2.1,1024.6
2013,3,1,8,9,25,13,42,700,46,-0.2,1025.2
2013,3,1,9,11,29,5,18,500,73,0.6,1025.3
2013,3,1,10,9,10,3,10,300,83,2,1025.1
2013,3,1,11,3,3,4,9,300,81,3.6,1024.8
2013,3,1,12,3,6,4,8,300,90,4.8,1023.8
2013,3,1,13,3,101,5,9,300,89,5.8,1022.8
2013,3,1,14,9,60,5,6,300,94,5.9,1022.6
2013,3,1,15,3,34,6,7,300,94,6,1022.6
2013,3,1,16,3,28,5,9,300,92,5.4,1022.8
2013,3,1,17,6,25,19,12,300,88,3.5,1023.4
2013,3,1,18,4,17,40,22,600,77,2.7,1024.2
2013,3,1,19,7,19,37,22,600,75,2,1025.1
2013,3,1,20,8,21,23,14,300,80,1.1,1025.9
2013,3,1,21,7,16,34,19,300,74,1.6,1026.7
2013,3,1,22,5,13,25,16,300,76,0.4,1027.2
2013,3,1,23,7,12,43,25,500,65,0.3,1027
2013,3,2,0,11,13,23,16,400,69,-0.5,1027.4
2013,3,2,1,12,10,24,18,400,67,-1.8,1027.9
2013,3,2,2,13,9,NA,56,800,33,-1.7,1027.7
2013,3,2,3,14,24,23,42,NA,NA,-2.5,1027.7
2013,3,2,4,14,18,24,NA,400,45,-3.4,1027.5
2013,3,2,5,13,13,37,57,600,28,-3.5,1026.9
2013,3,2,6,16,15,38,66,900,16,-3.5,1026.1
2013,3,2,7,19,25,39,63,900,18,-3.3,1026.7
2013,3,2,8,22,26,41,66,1100,14,-2,1026.4
2013,3,2,9,29,43,53,69,1600,13,-0.2,1026.3
2013,3,2,10,46,70,40,54,900,29,0.6,1025.8
2013,3,2,11,30,33,40,61,800,28,1.3,1025.4
2013,3,2,12,31,41,42,51,700,38,1.9,1024.2
2013,3,2,13,30,34,42,50,700,42,2.3,1022.6
2013,3,2,14,30,32,50,59,900,36,3,1021.9
2013,3,2,15,38,41,49,58,900,38,2.9,1020.9
2013,3,2,16,42,49,49,62,900,35,2.5,1020.6
2013,3,2,17,44,50,50,66,900,31,2.1,1020.2
2013,3,2,18,44,55,50,73,900,23,1.5,1020.4
2013,3,2,19,47,60,34,76,1000,18,0.3,1020
2013,3,2,20,52,65,43,84,1300,12,0,1019.9
2013,3,2,21,69,76,51,82,1700,9,-1.2,1019.7
2013,3,2,22,72,83,49,82,1600,8,-2.1,1019.1
2013,3,2,23,62,71,68,87,2000,9,-2.2,1018.2
2013,3,3,0,73,87,41,76,1500,7,-2.4,1017.4
2013,3,3,1,50,60,36,73,1399,7,-3.8,1016.5
2013,3,3,2,60,62,37,75,1500,7,-3.8,1015.1
2013,3,3,3,60,63,41,74,1600,7,-4,1014.1
2013,3,3,4,64,66,31,69,1200,6,-4.8,1013.6
2013,3,3,5,56,58,34,71,1300,6,-5.6,1013.2
2013,3,3,6,53,59,24,68,1399,6,-5.7,1013.2
2013,3,3,7,52,62,25,68,1700,6,-3.3,1013.5
2013,3,3,8,58,75,51,71,2399,12,-0.3,1012.8
2013,3,3,9,81,106,69,72,2000,15,3.4,1012.5
2013,3,3,10,84,101,78,84,2200,17,6.5,1011.4
2013,3,3,11,106,148,91,93,1899,20,9,1010.4
2013,3,3,12,110,135,78,89,1800,24,12.2,1009.1
2013,3,3,13,113,151,64,80,1500,30,15.6,1007.5
2013,3,3,14,100,151,36,53,1000,52,16.6,1006.9
2013,3,3,15,68,128,14,20,400,78,17,1006.8
2013,3,3,16,32,90,10,16,400,82,16.1,1006.9
2013,3,3,17,21,71,27,21,400,76,13.9,1007.6
2013,3,3,18,16,33,17,22,400,72,12.4,1009
2013,3,3,19,18,43,12,35,600,59,8.9,1010
2013,3,3,20,24,56,27,46,800,45,7.7,1010.1
2013,3,3,21,29,55,27,42,700,47,6.9,1010.6
2013,3,3,22,23,46,25,69,1300,19,6.8,1011.2
2013,3,3,23,30,78,14,24,700,52,8.6,1012.1
2013,3,4,0,25,42,30,22,400,57,9.2,1013.2
2013,3,4,1,16,38,24,13,300,72,7.3,1014.2
2013,3,4,2,8,31,29,14,300,74,6.1,1014.4
2013,3,4,3,6,20,4,10,400,76,6.6,1014.2
2013,3,4,4,7,13,3,10,300,80,4.8,1014.6
2013,3,4,5,3,14,31,46,600,38,5.4,1015.4
2013,3,4,6,10,24,43,43,500,39,4.2,1016.1
2013,3,4,7,12,28,38,38,700,42,6.3,1016.8
2013,3,4,8,12,32,29,34,700,48,8.9,1017.4
2013,3,4,9,16,29,21,19,500,65,10.2,1017.6
2013,3,4,10,14,23,16,12,400,76,11.4,1017.1
2013,3,4,11,7,16,7,11,400,80,12.7,1016.6
2013,3,4,12,8,22,6,9,400,85,14.6,1015.4
2013,3,4,13,14,16,7,9,400,89,15.1,1014.2
